0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
9.164214901428114019e-05 4.760627247553591568e-01 1.054243772583124248e-04 1.831876171383086825e+06 5.754989313520267816e-11 -2.989399658135528922e-07 1.832842980285622804e-04
2.886727693949855652e-04 1.499380110066439009e+00 3.595688178117620575e-03 2.906054853881204617e+05 1.237307957409699454e-08 -6.423014267087969473e-05 3.940612407614088770e-04
5.152579828327955936e-04 2.674940586699618095e+00 3.087004537028486401e-02 8.748307862979617494e+04 3.528684305297640829e-07 -1.822963788212609475e-03 6.364547249041823101e-04
7.758309782862771046e-04 4.014493304727190903e+00 1.384542828558816829e-01 3.768692484949478967e+04 3.673798293066462371e-06 -1.847763069788832535e-02 9.152072316683718990e-04
1.075489923057780821e-03 5.483321439074694048e+00 4.181715345714559495e-01 2.080051092664063617e+04 2.010389116289517389e-05 -9.255199987077314394e-02 1.235772614447189742e-03
1.420097709545009926e-03 6.951699109699521983e+00 9.016335218486580816e-01 1.348283935201044187e+04 6.687263182913383210e-05 -2.559864729896089153e-01 1.604422804642830326e-03
1.816396664005323451e-03 8.271364993191125947e+00 1.451566411958624014e+00 9.449333708081923760e+03 1.536156662669107414e-04 -4.498132357643453427e-01 2.028370523367816793e-03
2.272140461634684222e-03 9.395275100914878053e+00 1.919404858671069913e+00 6.877523215880778480e+03 2.790836222836936610e-04 -6.046462382270840763e-01 2.515910399901551651e-03
2.796245828908448978e-03 1.035022070602262367e+01 2.269319962638876920e+00 5.140338875364454907e+03 4.414726835776568723e-04 -7.115947393366537366e-01 3.076581257915346305e-03
3.398967001273278492e-03 1.117604258781330628e+01 2.521514361971679552e+00 3.929552783598198857e+03 6.416795395349670847e-04 -7.842781102776195112e-01 3.721352744631210678e-03
4.092096349492832172e-03 1.190529051432179308e+01 2.703253731422416539e+00 3.062888803694667786e+03 8.825828148692133664e-04 -8.347126554248341934e-01 4.462839954354454533e-03
4.889195099945320075e-03 1.256167038742793984e+01 2.835811851763738289e+00 2.427066520109813155e+03 1.168410982286130625e-03 -8.706297015089248248e-01 5.315550245536184749e-03
5.805858662965679429e-03 1.316214988602340519e+01 2.933887536857526346e+00 1.950081163098840761e+03 1.504494762760293178e-03 -8.967971427866422429e-01 6.296167080395174108e-03
6.860021760439092772e-03 1.371899869353713974e+01 3.007345514520518126e+00 1.585140599132007310e+03 1.897210197327429872e-03 -9.161961634582669323e-01 7.423876440483012304e-03
8.072309322533520459e-03 1.424125153653421272e+01 3.062814126190797293e+00 1.301105885062811012e+03 2.354007916770986357e-03 -9.307400166719104195e-01 8.720742204584026880e-03
9.466440018942109610e-03 1.473569257487304540e+01 3.104798760578421746e+00 1.076751603678612355e+03 2.883486042832960478e-03 -9.416895813853072283e-01 1.021213783330019234e-02
1.106969031981198601e-02 1.520751271105986646e+01 3.136404316226525602e+00 8.972718456109000726e+02 3.495488934793618534e-03 -9.498951748857321631e-01 1.192724280632378141e-02
1.291342816581234586e-02 1.566075315931180789e+01 3.159796404240982515e+00 7.521133244286208992e+02 4.201223171548463392e-03 -9.559404744747832527e-01 1.389961352530091031e-02
1.503372668871276116e-02 1.609860984559402652e+01 3.176496882202053396e+00 6.336030885271586612e+02 5.013385337127346415e-03 -9.602304291958354554e-01 1.616783985212461028e-02
1.747206999004823763e-02 1.652364620396835448e+01 3.187575393542342095e+00 5.360605184258804456e+02 5.946296852350587900e-03 -9.630463102147349685e-01 1.877630012797186151e-02
2.027616478658402985e-02 1.693794468874175152e+01 3.193775181418827547e+00 4.552104269355970132e+02 7.016040494319390405e-03 -9.645809381424783613e-01 2.177602944519619818e-02
2.350087380260019315e-02 1.734321653624002124e+01 3.195596759077987681e+00 3.877872465415251213e+02 8.240591771998866111e-03 -9.649616101719671324e-01 2.522571816000419159e-02
2.720928917101878702e-02 1.774088254938655140e+01 3.193354059858481087e+00 3.312629563911685295e+02 9.639936063109146372e-03 -9.642651763531835396e-01 2.919286018203337899e-02
3.147396684470016304e-02 1.813213339034058436e+01 3.187212243301362768e+00 2.836567052562972435e+02 1.123615930434952032e-02 -9.625279586836077428e-01 3.375507350736695056e-02
3.637834616943375066e-02 1.851797510254769819e+01 3.177212996960208091e+00 2.433993716492321937e+02 1.305349592362295072e-02 -9.597521779803945829e-01 3.900161883150054382e-02
4.201838239287736254e-02 1.889926376840227817e+01 3.163291103056019349e+00 2.092357101929651719e+02 1.511831241359426134e-02 -9.559099353016224931e-01 4.503514595425418821e-02
4.850442404983752731e-02 1.927673199108723523e+01 3.145284735490280426e+00 1.801526323642009118e+02 1.745899822853234917e-02 -9.509454137553339237e-01 5.197370214542087336e-02
5.596337195534172027e-02 1.965100905137220266e+01 3.122941120096182299e+00 1.553259354870662889e+02 2.010572725833242175e-02 -9.447757257875475378e-01 5.995304176526256024e-02
6.454116204667152690e-02 2.002263599431126906e+01 3.095918653555761679e+00 1.340802393365047749e+02 2.309004267865127219e-02 -9.372906747765342717e-01 6.912928232808049356e-02
7.440562065170081008e-02 2.039207645659903534e+01 3.063786229806616301e+00 1.158585038178619868e+02 2.644420515587317388e-02 -9.283515952871482790e-01 7.968195897532114047e-02
8.574974804748450308e-02 2.075972369050488453e+01 3.026020306731658671e+00 1.001985830366943730e+02 3.020022885859615508e-02 -9.177893640244051410e-01 9.181753711964786568e-02
